Name,Opponent,Win,Weight_Class,Title_Bout,Method,Round,Time,Time_format,Referee,Date,Location,Totals_KD,Totals_Rev,Totals_Sub_att,Totals_Td_Pct,N_Rounds,Max_Time,Season,Country,Continent,Sig_Str_Landed,Sig_Str_Attempted,Sig_Str_Landed_Body,Sig_Str_Attempted_Body,Sig_Str_Landed_Head,Sig_Str_Attempted_Head,Sig_Str_Landed_Leg,Sig_Str_Attempted_Leg,Sig_Str_Landed_Clinch,Sig_Str_Attempted_Clinch,Sig_Str_Landed_Distance,Sig_Str_Attempted_Distance,Sig_Str_Landed_Ground,Sig_Str_Attempted_Ground,Totals_Str_Landed,Totals_Str_Attempted,Totals_Ctrl_Sec
Johnny Walker,Zhang Mingyang,1,Light Heavyweight,0,KO/TKO,2,157,5_Rnd_(5-5-5-5-5),Marc_Goddard,2025-08-23,"Shanghai, Hebei, China",0,0,0,0.0,5,25,Summer,China,Asia,9,22,1,5,3,12,5,5,2,4,7,18,0,0,10,25,39
Zhang Mingyang,Johnny Walker,0,Light Heavyweight,0,KO/TKO,2,157,5_Rnd_(5-5-5-5-5),Marc_Goddard,2025-08-23,"Shanghai, Hebei, China",0,0,0,0.0,5,25,Summer,China,Asia,12,30,5,5,6,24,1,1,4,6,7,22,1,2,20,42,81
Brian Ortega,Aljamain Sterling,0,Catch Weight,0,Decision,5,300,5_Rnd_(5-5-5-5-5),Herb_Dean,2025-08-23,"Shanghai, Hebei, China",0,0,0,0.0,5,25,Summer,China,Asia,2,28,0,2,2,25,0,1,0,0,2,28,0,0,2,28,0
Aljamain Sterling,Brian Ortega,1,Catch Weight,0,Decision,5,300,5_Rnd_(5-5-5-5-5),Herb_Dean,2025-08-23,"Shanghai, Hebei, China",0,0,0,0.0,5,25,Summer,China,Asia,27,44,3,4,16,32,8,8,0,0,27,44,0,0,27,44,0
Sergei Pavlovich,Waldo Cortes-Acosta,1,Heavyweight,0,Decision,3,300,3_Rnd_(5-5-5),Marc_Goddard,2025-08-23,"Shanghai, Hebei, China",0,0,0,0.0,3,15,Summer,China,Asia,9,28,1,1,6,24,2,3,1,2,8,26,0,0,11,31,6
Waldo Cortes-Acosta,Sergei Pavlovich,0,Heavyweight,0,Decision,3,300,3_Rnd_(5-5-5),Marc_Goddard,2025-08-23,"Shanghai, Hebei, China",0,0,0,0.0,3,15,Summer,China,Asia,11,34,1,4,5,20,5,10,0,3,11,31,0,0,11,34,0
Sumudaerji,Kevin Borjas,1,Flyweight,0,Decision,3,300,3_Rnd_(5-5-5),Vitor_Ribeiro,2025-08-23,"Shanghai, Hebei, China",0,0,0,0.0,3,15,Summer,China,Asia,17,35,3,9,6,15,8,11,1,1,16,34,0,0,17,35,0
Kevin Borjas,Sumudaerji,0,Flyweight,0,Decision,3,300,3_Rnd_(5-5-5),Vitor_Ribeiro,2025-08-23,"Shanghai, Hebei, China",0,0,0,0.0,3,15,Summer,China,Asia,3,13,2,2,1,8,0,3,2,2,1,11,0,0,3,13,60
Taiyilake Nueraji,Kiefer Crosbie,1,Welterweight,0,KO/TKO,1,213,3_Rnd_(5-5-5),Marc_Goddard,2025-08-23,"Shanghai, Hebei, China",0,0,0,0.33,3,15,Summer,China,Asia,27,38,2,3,25,35,0,0,0,0,2,3,25,35,31,42,191
Kiefer Crosbie,Taiyilake Nueraji,0,Welterweight,0,KO/TKO,1,213,3_Rnd_(5-5-5),Marc_Goddard,2025-08-23,"Shanghai, Hebei, China",0,0,0,0.0,3,15,Summer,China,Asia,2,3,1,1,1,1,0,1,0,0,2,3,0,0,11,12,8
Maheshate,Gauge Young,0,Lightweight,0,Decision,3,300,3_Rnd_(5-5-5),Herb_Dean,2025-08-23,"Shanghai, Hebei, China",0,0,0,0.0,3,15,Summer,China,Asia,18,44,6,7,5,29,7,8,0,0,18,44,0,0,21,48,1
Gauge Young,Maheshate,1,Lightweight,0,Decision,3,300,3_Rnd_(5-5-5),Herb_Dean,2025-08-23,"Shanghai, Hebei, China",0,0,0,1.0,3,15,Summer,China,Asia,31,53,9,13,9,25,13,15,4,4,27,49,0,0,34,56,73
Charles Johnson,Lone'er Kavanagh,1,Flyweight,0,KO/TKO,2,275,3_Rnd_(5-5-5),Jim_Perdios,2025-08-23,"Shanghai, Hebei, China",0,0,0,0.0,3,15,Summer,China,Asia,14,25,2,4,3,11,9,10,0,1,14,24,0,0,14,25,10
Lone'er Kavanagh,Charles Johnson,0,Flyweight,0,KO/TKO,2,275,3_Rnd_(5-5-5),Jim_Perdios,2025-08-23,"Shanghai, Hebei, China",0,0,0,0.0,3,15,Summer,China,Asia,36,65,14,18,17,37,5,10,2,2,34,63,0,0,37,66,0
Rongzhu,Austin Hubbard,1,Lightweight,0,Decision,3,300,3_Rnd_(5-5-5),Vitor_Ribeiro,2025-08-23,"Shanghai, Hebei, China",0,0,0,0.0,3,15,Summer,China,Asia,20,46,1,4,9,32,10,10,1,3,19,43,0,0,21,47,0
Austin Hubbard,Rongzhu,0,Lightweight,0,Decision,3,300,3_Rnd_(5-5-5),Vitor_Ribeiro,2025-08-23,"Shanghai, Hebei, China",0,0,0,0.33,3,15,Summer,China,Asia,18,59,7,11,10,46,1,2,0,0,18,59,0,0,18,59,29
Michel Pereira,Kyle Daukaus,0,Middleweight,0,KO/TKO,1,43,3_Rnd_(5-5-5),Marc_Goddard,2025-08-23,"Shanghai, Hebei, China",0,0,0,0.0,3,15,Summer,China,Asia,2,4,2,3,0,1,0,0,0,0,2,4,0,0,2,4,0
Kyle Daukaus,Michel Pereira,1,Middleweight,0,KO/TKO,1,43,3_Rnd_(5-5-5),Marc_Goddard,2025-08-23,"Shanghai, Hebei, China",1,0,0,0.0,3,15,Summer,China,Asia,5,8,0,0,5,8,0,0,0,0,1,1,4,7,7,12,7
Yizha,Westin Wilson,1,Featherweight,0,KO/TKO,1,37,3_Rnd_(5-5-5),Herb_Dean,2025-08-23,"Shanghai, Hebei, China",2,0,0,0.0,3,15,Summer,China,Asia,13,18,0,0,10,15,3,3,2,3,9,12,2,3,17,23,6
Westin Wilson,Yizha,0,Featherweight,0,KO/TKO,1,37,3_Rnd_(5-5-5),Herb_Dean,2025-08-23,"Shanghai, Hebei, China",0,0,0,0.0,3,15,Summer,China,Asia,0,2,0,0,0,1,0,1,0,0,0,2,0,0,0,2,0
Xiao Long,SuYoung You,0,Bantamweight,0,Decision,3,300,3_Rnd_(5-5-5),Jim_Perdios,2025-08-23,"Shanghai, Hebei, China",0,0,0,0.0,3,15,Summer,China,Asia,11,35,1,4,6,18,4,13,0,0,11,35,0,0,11,35,0
SuYoung You,Xiao Long,1,Bantamweight,0,Decision,3,300,3_Rnd_(5-5-5),Jim_Perdios,2025-08-23,"Shanghai, Hebei, China",0,0,0,0.0,3,15,Summer,China,Asia,10,15,3,3,6,10,1,2,2,2,8,13,0,0,12,17,3
Uran Satybaldiev,Diyar Nurgozhay,1,Light Heavyweight,0,Submission,1,165,3_Rnd_(5-5-5),Vitor_Ribeiro,2025-08-23,"Shanghai, Hebei, China",1,1,2,0.0,3,15,Summer,China,Asia,2,9,0,4,1,4,1,1,0,0,2,8,0,1,3,10,70
Diyar Nurgozhay,Uran Satybaldiev,0,Light Heavyweight,0,Submission,1,165,3_Rnd_(5-5-5),Vitor_Ribeiro,2025-08-23,"Shanghai, Hebei, China",0,0,0,1.0,3,15,Summer,China,Asia,7,11,3,5,1,3,3,3,0,0,7,11,0,0,13,19,18
Dricus Du Plessis,Khamzat Chimaev,0,Middleweight,1,Decision,5,300,5_Rnd_(5-5-5-5-5),Marc_Goddard,2025-08-16,"Chicago, Illinois, USA",0,0,0,0.0,5,25,Summer,USA,North America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
Khamzat Chimaev,Dricus Du Plessis,1,Middleweight,1,Decision,5,300,5_Rnd_(5-5-5-5-5),Marc_Goddard,2025-08-16,"Chicago, Illinois, USA",0,0,0,1.0,5,25,Summer,USA,North America,1,2,0,1,1,1,0,0,0,0,0,1,1,1,131,137,287
Lerone Murphy,Aaron Pico,1,Featherweight,0,KO/TKO,1,201,3_Rnd_(5-5-5),Herb_Dean,2025-08-16,"Chicago, Illinois, USA",1,0,1,0.0,3,15,Summer,USA,North America,8,16,4,6,4,9,0,1,1,1,6,14,1,1,8,16,0
Aaron Pico,Lerone Murphy,0,Featherweight,0,KO/TKO,1,201,3_Rnd_(5-5-5),Herb_Dean,2025-08-16,"Chicago, Illinois, USA",0,0,0,0.66,3,15,Summer,USA,North America,13,29,5,5,7,23,1,1,3,5,7,21,3,3,13,30,121
Geoff Neal,Carlos Prates,0,Welterweight,0,KO/TKO,1,299,3_Rnd_(5-5-5),Jason_Herzog,2025-08-16,"Chicago, Illinois, USA",0,0,0,0.0,3,15,Summer,USA,North America,25,49,4,6,16,38,5,5,2,4,23,45,0,0,26,50,15
