Name,Opponent,Win,Weight_Class,Title_Bout,Method,Round,Time,Time_format,Referee,Date,Location,Fighter_A_Totals_Fighter,Fighter_A_Totals_KD,Fighter_A_Totals_Sig_str,Fighter_A_Totals_Sig_str_Pct,Fighter_A_Totals_Total_str,Fighter_A_Totals_Td_Pct,Fighter_A_Totals_Sub_att,Fighter_A_Totals_Rev,Fighter_A_Totals_Ctrl,Fighter_A_Significant_Strikes_Fighter,Fighter_A_Significant_Strikes_Sig_str,Fighter_A_Significant_Strikes_Sig_str_Pct,Fighter_A_Significant_Strikes_Head,Fighter_A_Significant_Strikes_Body,Fighter_A_Significant_Strikes_Leg,Fighter_A_Significant_Strikes_Distance,Fighter_A_Significant_Strikes_Clinch,Fighter_A_Significant_Strikes_Ground,Fighter_B_Totals_Fighter,Fighter_B_Totals_KD,Fighter_B_Totals_Sig_str,Fighter_B_Totals_Sig_str_Pct,Fighter_B_Totals_Total_str,Fighter_B_Totals_Td_Pct,Fighter_B_Totals_Sub_att,Fighter_B_Totals_Rev,Fighter_B_Totals_Ctrl,Fighter_B_Significant_Strikes_Fighter,Fighter_B_Significant_Strikes_Sig_str,Fighter_B_Significant_Strikes_Sig_str_Pct,Fighter_B_Significant_Strikes_Head,Fighter_B_Significant_Strikes_Body,Fighter_B_Significant_Strikes_Leg,Fighter_B_Significant_Strikes_Distance,Fighter_B_Significant_Strikes_Clinch,Fighter_B_Significant_Strikes_Ground
Johnny Walker,Zhang Mingyang,1,Light Heavyweight,0,KO/TKO,2,2:37,5_Rnd_(5-5-5-5-5),Marc_Goddard,"Date:August 23, 2025","Location:Shanghai, Hebei, China",Johnny Walker,0.0,9 of 22,40%,10 of 25,0%,0.0,0.0,0:39,Johnny Walker,9 of 22,40%,3 of 12,1 of 5,5 of 5,7 of 18,2 of 4,0 of 0,,,,,,,,,,,,,,,,,,
Zhang Mingyang,Johnny Walker,0,Light Heavyweight,0,KO/TKO,2,2:37,5_Rnd_(5-5-5-5-5),Marc_Goddard,"Date:August 23, 2025","Location:Shanghai, Hebei, China",,,,,,,,,,,,,,,,,,,Zhang Mingyang,0.0,12 of 30,40%,20 of 42,---,0.0,0.0,1:21,Zhang Mingyang,12 of 30,40%,6 of 24,5 of 5,1 of 1,7 of 22,4 of 6,1 of 2
Brian Ortega,Aljamain Sterling,0,Catch Weight,0,Decision - Unanimous,5,5:00,5_Rnd_(5-5-5-5-5),Herb_Dean,"Date:August 23, 2025","Location:Shanghai, Hebei, China",Brian Ortega,0.0,2 of 28,7%,2 of 28,---,0.0,0.0,0:00,Brian Ortega,2 of 28,7%,2 of 25,0 of 2,0 of 1,2 of 28,0 of 0,0 of 0,,,,,,,,,,,,,,,,,,
Aljamain Sterling,Brian Ortega,1,Catch Weight,0,Decision - Unanimous,5,5:00,5_Rnd_(5-5-5-5-5),Herb_Dean,"Date:August 23, 2025","Location:Shanghai, Hebei, China",,,,,,,,,,,,,,,,,,,Aljamain Sterling,0.0,27 of 44,61%,27 of 44,---,0.0,0.0,0:00,Aljamain Sterling,27 of 44,61%,16 of 32,3 of 4,8 of 8,27 of 44,0 of 0,0 of 0
Sergei Pavlovich,Waldo Cortes-Acosta,1,Heavyweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Marc_Goddard,"Date:August 23, 2025","Location:Shanghai, Hebei, China",Sergei Pavlovich,0.0,9 of 28,32%,11 of 31,0%,0.0,0.0,0:06,Sergei Pavlovich,9 of 28,32%,6 of 24,1 of 1,2 of 3,8 of 26,1 of 2,0 of 0,,,,,,,,,,,,,,,,,,
Waldo Cortes-Acosta,Sergei Pavlovich,0,Heavyweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Marc_Goddard,"Date:August 23, 2025","Location:Shanghai, Hebei, China",,,,,,,,,,,,,,,,,,,Waldo Cortes-Acosta,0.0,11 of 34,32%,11 of 34,---,0.0,0.0,0:00,Waldo Cortes-Acosta,11 of 34,32%,5 of 20,1 of 4,5 of 10,11 of 31,0 of 3,0 of 0
Sumudaerji,Kevin Borjas,1,Flyweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Vitor_Ribeiro,"Date:August 23, 2025","Location:Shanghai, Hebei, China",Sumudaerji,0.0,17 of 35,48%,17 of 35,---,0.0,0.0,0:00,Sumudaerji,17 of 35,48%,6 of 15,3 of 9,8 of 11,16 of 34,1 of 1,0 of 0,,,,,,,,,,,,,,,,,,
Kevin Borjas,Sumudaerji,0,Flyweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Vitor_Ribeiro,"Date:August 23, 2025","Location:Shanghai, Hebei, China",,,,,,,,,,,,,,,,,,,Kevin Borjas,0.0,3 of 13,23%,3 of 13,0%,0.0,0.0,1:00,Kevin Borjas,3 of 13,23%,1 of 8,2 of 2,0 of 3,1 of 11,2 of 2,0 of 0
Taiyilake Nueraji,Kiefer Crosbie,1,Welterweight,0,KO/TKO,1,3:33,3_Rnd_(5-5-5),Marc_Goddard,"Date:August 23, 2025","Location:Shanghai, Hebei, China",Taiyilake Nueraji,0.0,27 of 38,71%,31 of 42,33%,0.0,0.0,3:11,Taiyilake Nueraji,27 of 38,71%,25 of 35,2 of 3,0 of 0,2 of 3,0 of 0,25 of 35,,,,,,,,,,,,,,,,,,
Kiefer Crosbie,Taiyilake Nueraji,0,Welterweight,0,KO/TKO,1,3:33,3_Rnd_(5-5-5),Marc_Goddard,"Date:August 23, 2025","Location:Shanghai, Hebei, China",,,,,,,,,,,,,,,,,,,Kiefer Crosbie,0.0,2 of 3,66%,11 of 12,0%,0.0,0.0,0:08,Kiefer Crosbie,2 of 3,66%,1 of 1,1 of 1,0 of 1,2 of 3,0 of 0,0 of 0
