Fighter_A_Name,Fighter_B_Name,Date,Weight_Class,Title_Bout,Referee,Location,Country,Continent,Season,N_Rounds,Max_Time,Method,Round,Time,Time_format,Fighter_A_Totals_KD,Fighter_B_Totals_KD,Fighter_A_Totals_Rev,Fighter_B_Totals_Rev,Fighter_A_Totals_Sub_att,Fighter_B_Totals_Sub_att,Fighter_A_Totals_Td_Pct,Fighter_B_Totals_Td_Pct,Fighter_A_Sig_Str_Landed,Fighter_B_Sig_Str_Landed,Fighter_A_Sig_Str_Attempted,Fighter_B_Sig_Str_Attempted,Fighter_A_Sig_Str_Landed_Body,Fighter_B_Sig_Str_Landed_Body,Fighter_A_Sig_Str_Attempted_Body,Fighter_B_Sig_Str_Attempted_Body,Fighter_A_Sig_Str_Landed_Head,Fighter_B_Sig_Str_Landed_Head,Fighter_A_Sig_Str_Attempted_Head,Fighter_B_Sig_Str_Attempted_Head,Fighter_A_Sig_Str_Landed_Leg,Fighter_B_Sig_Str_Landed_Leg,Fighter_A_Sig_Str_Attempted_Leg,Fighter_B_Sig_Str_Attempted_Leg,Fighter_A_Sig_Str_Landed_Clinch,Fighter_B_Sig_Str_Landed_Clinch,Fighter_A_Sig_Str_Attempted_Clinch,Fighter_B_Sig_Str_Attempted_Clinch,Fighter_A_Sig_Str_Landed_Distance,Fighter_B_Sig_Str_Landed_Distance,Fighter_A_Sig_Str_Attempted_Distance,Fighter_B_Sig_Str_Attempted_Distance,Fighter_A_Sig_Str_Landed_Ground,Fighter_B_Sig_Str_Landed_Ground,Fighter_A_Sig_Str_Attempted_Ground,Fighter_B_Sig_Str_Attempted_Ground,Fighter_A_Totals_Str_Landed,Fighter_B_Totals_Str_Landed,Fighter_A_Totals_Str_Attempted,Fighter_B_Totals_Str_Attempted,Fighter_A_Totals_Ctrl_Sec,Fighter_B_Totals_Ctrl_Sec,Fighter_A_Wins,Fighter_A_Losses,Fighter_A_Draws,Fighter_A_Total_Fights,Fighter_A_Win_Streak,Fighter_A_Lose_Streak,Fighter_A_Experience_Years,Fighter_A_Days_Since_Last_Fight,Fighter_B_Wins,Fighter_B_Losses,Fighter_B_Draws,Fighter_B_Total_Fights,Fighter_B_Win_Streak,Fighter_B_Lose_Streak,Fighter_B_Experience_Years,Fighter_B_Days_Since_Last_Fight,Winner_A,Fighter_A_Is_Debut,Fighter_B_Is_Debut
Johnny Rhodes,Patrick Smith,1994-03-11,Other,0,John_McCarthy,"Denver, Colorado, USA",USA,North America,Spring,0,0,Submission,1,67,No_Time_Limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,1,1
Royce Gracie,Jason DeLucia,1994-03-11,Other,0,John_McCarthy,"Denver, Colorado, USA",USA,North America,Spring,0,0,Submission,1,67,No_Time_Limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,1,1,1
Royce Gracie,Patrick Smith,1994-03-11,Other,1,John_McCarthy,"Denver, Colorado, USA",USA,North America,Spring,0,0,KO/TKO,1,77,No_Time_Limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,1,1,1
Royce Gracie,Remco Pardoel,1994-03-11,Other,0,John_McCarthy,"Denver, Colorado, USA",USA,North America,Spring,0,0,Submission,1,91,No_Time_Limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,1,1,1
Remco Pardoel,Orlando Wiet,1994-03-11,Other,0,John_McCarthy,"Denver, Colorado, USA",USA,North America,Spring,0,0,KO/TKO,1,89,No_Time_Limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,1,1,1
Johnny Rhodes,Fred Ettish,1994-03-11,Other,0,John_McCarthy,"Denver, Colorado, USA",USA,North America,Spring,0,0,Submission,1,187,No_Time_Limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,1,1,1
Patrick Smith,Scott Morris,1994-03-11,Other,0,John_McCarthy,"Denver, Colorado, USA",USA,North America,Spring,0,0,KO/TKO,1,30,No_Time_Limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,1,1,1
Royce Gracie,Minoki Ichihara,1994-03-11,Other,0,John_McCarthy,"Denver, Colorado, USA",USA,North America,Spring,0,0,Submission,1,308,No_Time_Limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,1,1,1
Scott Baker,Jason DeLucia,1994-03-11,Other,0,John_McCarthy,"Denver, Colorado, USA",USA,North America,Spring,0,0,Submission,1,401,No_Time_Limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,1,1
Sean Daugherty,Scott Morris,1994-03-11,Other,0,John_McCarthy,"Denver, Colorado, USA",USA,North America,Spring,0,0,Submission,1,20,No_Time_Limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,1,1
Ray Wizard,Patrick Smith,1994-03-11,Other,0,John_McCarthy,"Denver, Colorado, USA",USA,North America,Spring,0,0,Submission,1,58,No_Time_Limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,1,1
