Fighter_A_Name,Fighter_B_Name,Date,Weight_Class,Title_Bout,Referee,Location,Country,Continent,Season,N_Rounds,Max_Time,Method,Round,Time,Time_format,Fighter_A_Totals_KD,Fighter_B_Totals_KD,Fighter_A_Totals_Rev,Fighter_B_Totals_Rev,Fighter_A_Totals_Sub_att,Fighter_B_Totals_Sub_att,Fighter_A_Totals_Td_Pct,Fighter_B_Totals_Td_Pct,Fighter_A_Sig_Str_Landed,Fighter_B_Sig_Str_Landed,Fighter_A_Sig_Str_Attempted,Fighter_B_Sig_Str_Attempted,Fighter_A_Sig_Str_Landed_Body,Fighter_B_Sig_Str_Landed_Body,Fighter_A_Sig_Str_Attempted_Body,Fighter_B_Sig_Str_Attempted_Body,Fighter_A_Sig_Str_Landed_Head,Fighter_B_Sig_Str_Landed_Head,Fighter_A_Sig_Str_Attempted_Head,Fighter_B_Sig_Str_Attempted_Head,Fighter_A_Sig_Str_Landed_Leg,Fighter_B_Sig_Str_Landed_Leg,Fighter_A_Sig_Str_Attempted_Leg,Fighter_B_Sig_Str_Attempted_Leg,Fighter_A_Sig_Str_Landed_Clinch,Fighter_B_Sig_Str_Landed_Clinch,Fighter_A_Sig_Str_Attempted_Clinch,Fighter_B_Sig_Str_Attempted_Clinch,Fighter_A_Sig_Str_Landed_Distance,Fighter_B_Sig_Str_Landed_Distance,Fighter_A_Sig_Str_Attempted_Distance,Fighter_B_Sig_Str_Attempted_Distance,Fighter_A_Sig_Str_Landed_Ground,Fighter_B_Sig_Str_Landed_Ground,Fighter_A_Sig_Str_Attempted_Ground,Fighter_B_Sig_Str_Attempted_Ground,Fighter_A_Totals_Str_Landed,Fighter_B_Totals_Str_Landed,Fighter_A_Totals_Str_Attempted,Fighter_B_Totals_Str_Attempted,Fighter_A_Totals_Ctrl_Sec,Fighter_B_Totals_Ctrl_Sec,Fighter_A_Wins,Fighter_A_Losses,Fighter_A_Draws,Fighter_A_Total_Fights,Fighter_A_Win_Streak,Fighter_A_Lose_Streak,Fighter_A_Experience_Years,Fighter_A_Days_Since_Last_Fight,Fighter_B_Wins,Fighter_B_Losses,Fighter_B_Draws,Fighter_B_Total_Fights,Fighter_B_Win_Streak,Fighter_B_Lose_Streak,Fighter_B_Experience_Years,Fighter_B_Days_Since_Last_Fight,Winner_A,Fighter_A_Is_Debut,Fighter_B_Is_Debut,fight_id,odds_A,odds_B,Odds_A,Odds_B
James Irvin,Alessio Sakara,2010-03-21,Middleweight,0,Josh_Rosenthal,"Broomfield, Colorado, USA",USA,North America,Spring,3,15,KO/TKO,1,181,3_Rnd_(5-5-5),0.125,0.2,0.0,0.0,0.125,0.0,0.0,0.15,3.875,14.8,8.0,29.8,0.875,1.4,0.875,1.9,1.5,13.2,5.0,27.7,1.5,0.2,2.125,0.2,0.875,3.3,1.125,5.7,2.5,5.3,6.25,13.8,0.5,6.2,0.625,10.3,4.875,19.3,9.0,35.0,3.25,62.9,4,4,0,8,0,1,5.123287671232877,610.0,5,5,0,10,2,0,4.454794520547945,225.0,0,0,0,alessio_sakara-james_irvin-2010_03_21,2.0,1.8333333333333333,,
Paul Buentello,Cheick Kongo,2010-03-21,Heavyweight,0,Herb_Dean,"Broomfield, Colorado, USA",USA,North America,Spring,3,15,KO/TKO,3,76,3_Rnd_(5-5-5),0.4,0.2727272727272727,0.2,0.2727272727272727,0.2,0.0909090909090909,0.1,0.4090909090909091,16.2,17.454545454545453,31.4,25.363636363636363,4.8,3.0,5.2,3.272727272727273,9.8,8.545454545454545,24.2,14.636363636363637,1.6,5.909090909090909,2.0,7.454545454545454,8.0,6.909090909090909,11.0,7.363636363636363,6.6,5.090909090909091,17.8,10.909090909090908,1.6,5.454545454545454,2.6,7.090909090909091,18.8,29.818181818181817,34.6,38.0,27.2,82.18181818181819,3,2,0,5,0,1,5.123287671232877,99.0,7,4,0,11,0,2,3.704109589041096,99.0,0,0,0,cheick_kongo-paul_buentello-2010_03_21,4.15,1.289855072463768,,
Brandon Vera,Jon Jones,2010-03-21,Light Heavyweight,0,Herb_Dean,"Broomfield, Colorado, USA",USA,North America,Spring,3,15,KO/TKO,1,199,3_Rnd_(5-5-5),0.1818181818181818,0.25,0.0,0.0,0.0909090909090909,0.0,0.0909090909090909,0.54,14.909090909090908,24.5,26.818181818181817,51.75,3.1818181818181817,6.25,4.454545454545454,7.0,5.363636363636363,15.25,15.181818181818182,40.25,6.363636363636363,3.0,7.181818181818182,4.5,6.2727272727272725,6.25,7.454545454545454,8.5,6.909090909090909,8.25,17.272727272727273,25.75,1.7272727272727273,10.0,2.090909090909091,17.5,18.63636363636364,29.75,30.727272727272727,59.0,39.27272727272727,57.5,7,4,0,11,0,1,4.465753424657534,127.0,3,1,0,4,0,1,1.6136986301369862,106.0,0,0,0,brandon_vera-jon_jones-2010_03_21,3.15,1.425531914893617,,
Junior Dos Santos,Gabriel Gonzaga,2010-03-21,Heavyweight,0,Josh_Rosenthal,"Broomfield, Colorado, USA",USA,North America,Spring,3,15,KO/TKO,1,233,3_Rnd_(5-5-5),1.0,0.3,0.0,0.0,0.0,0.7,0.0,0.583,13.5,10.5,27.75,18.6,4.5,1.5,6.5,1.7,7.5,7.6,19.5,15.5,1.5,1.4,1.75,1.4,3.0,1.7,5.0,2.2,8.0,2.9,19.25,7.2,2.5,5.9,3.5,9.2,16.0,21.5,30.5,30.6,12.0,106.6,4,0,0,4,4,0,1.4027397260273973,78.0,7,3,0,10,1,0,4.336986301369863,204.0,1,0,0,gabriel_gonzaga-junior_dos_santos-2010_03_21,3.3,1.4,,
Clay Guida,Shannon Gugerty,2010-03-21,Lightweight,0,Herb_Dean,"Broomfield, Colorado, USA",USA,North America,Spring,3,15,Submission,2,220,3_Rnd_(5-5-5),0.1,0.0,0.0,0.0,0.2,1.0,0.499,0.78,12.2,5.75,34.6,16.25,1.8,0.5,3.0,1.75,8.1,2.25,28.8,10.25,2.3,3.0,2.8,4.25,1.7,0.75,3.0,1.5,6.0,3.75,22.6,12.75,4.5,1.25,9.0,2.0,24.5,14.75,47.9,27.25,133.1,123.25,5,5,0,10,0,2,3.4356164383561643,99.0,2,2,0,4,0,1,1.6712328767123288,127.0,1,0,0,clay_guida-shannon_gugerty-2010_03_21,1.238095238095238,4.35,,
Eliot Marshall,Vladimir Matyushenko,2010-03-21,Light Heavyweight,0,Adam_Martinez,"Broomfield, Colorado, USA",USA,North America,Spring,3,15,Decision,3,300,3_Rnd_(5-5-5),0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.4983333333333333,9.666666666666666,10.0,34.0,17.5,0.6666666666666666,1.5,2.6666666666666665,2.1666666666666665,7.666666666666667,7.666666666666667,30.0,14.5,1.3333333333333333,0.8333333333333334,1.3333333333333333,0.8333333333333334,1.0,2.1666666666666665,1.3333333333333333,3.333333333333333,8.333333333333334,2.6666666666666665,32.333333333333336,7.5,0.3333333333333333,5.166666666666667,0.3333333333333333,6.666666666666667,13.333333333333334,31.5,37.66666666666666,41.0,22.0,135.5,3,0,0,3,3,0,1.2684931506849315,183.0,4,2,0,6,1,0,8.73150684931507,183.0,0,0,0,eliot_marshall-vladimir_matyushenko-2010_03_21,2.45,1.606060606060606,,
Eric Schafer,Jason Brilz,2010-03-21,Light Heavyweight,0,Tom_Johnson,"Broomfield, Colorado, USA",USA,North America,Spring,3,15,Decision,3,300,3_Rnd_(5-5-5),0.0,0.0,0.3333333333333333,0.0,1.3333333333333333,0.3333333333333333,0.1666666666666666,0.5,12.333333333333334,10.333333333333334,20.166666666666668,34.333333333333336,2.0,2.0,2.833333333333333,2.6666666666666665,8.833333333333334,7.666666666666667,15.5,30.0,1.5,0.6666666666666666,1.8333333333333333,1.6666666666666667,2.1666666666666665,1.0,3.1666666666666665,4.0,2.1666666666666665,3.0,6.0,22.33333333333333,8.0,6.333333333333333,11.0,8.0,31.166666666666668,27.33333333333333,39.66666666666666,52.333333333333336,125.33333333333331,124.0,3,3,0,6,0,1,3.56986301369863,148.0,2,1,0,3,0,1,1.5068493150684932,183.0,0,0,0,eric_schafer-jason_brilz-2010_03_21,2.4,1.625,,
Julio Paulino,Mike Pierce,2010-03-21,Welterweight,0,Tim_Mills,"Broomfield, Colorado, USA",USA,North America,Spring,3,15,Decision,3,300,3_Rnd_(5-5-5),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.665,0.0,9.0,0.0,22.0,0.0,5.0,0.0,5.5,0.0,1.0,0.0,13.0,0.0,3.0,0.0,3.5,0.0,3.0,0.0,4.5,0.0,2.0,0.0,12.5,0.0,4.0,0.0,5.0,0.0,31.0,0.0,45.5,0.0,148.5,0,0,0,0,0,0,0.0,0.0,1,1,0,2,0,1,0.5095890410958904,99.0,0,1,0,julio_paulino-mike_pierce-2010_03_21,1.238095238095238,4.35,,
Chase Gormley,Brendan Schaub,2010-03-21,Heavyweight,0,Adam_Martinez,"Broomfield, Colorado, USA",USA,North America,Spring,3,15,KO/TKO,1,47,3_Rnd_(5-5-5),0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8.0,12.0,23.0,48.0,4.0,0.0,7.0,4.0,4.0,12.0,16.0,44.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,12.0,1.0,9.0,6.0,36.0,5.0,0.0,15.0,0.0,10.0,14.0,28.0,50.0,89.0,0.0,0,1,0,1,0,1,0.4054794520547945,148.0,0,1,0,1,0,1,0.2904109589041095,106.0,0,0,0,brendan_schaub-chase_gormley-2010_03_21,3.2,1.3846153846153846,,
Daniel Roberts,John Howard,2010-03-21,Welterweight,0,Tom_Johnson,"Broomfield, Colorado, USA",USA,North America,Spring,3,15,KO/TKO,1,121,3_Rnd_(5-5-5),0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.5,0.0,4.666666666666667,0.0,9.0,0.0,1.3333333333333333,0.0,1.3333333333333333,0.0,0.6666666666666666,0.0,4.666666666666667,0.0,2.6666666666666665,0.0,3.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,3.6666666666666665,0.0,6.666666666666667,0.0,0.6666666666666666,0.0,1.6666666666666667,0.0,13.0,0.0,17.666666666666668,0.0,72.33333333333333,0,0,0,0,0,0,0.0,0.0,3,0,0,3,3,0,1.1342465753424658,106.0,0,1,0,daniel_roberts-john_howard-2010_03_21,1.4761904761904765,2.75,,
