Fighter_A_Name,Fighter_B_Name,Date,Weight_Class,Title_Bout,Referee,Location,Country,Continent,Season,N_Rounds,Max_Time,Method,Round,Time,Time_format,Fighter_A_Totals_KD,Fighter_A_Totals_Rev,Fighter_A_Totals_Sub_att,Fighter_A_Totals_Td_Pct,Fighter_A_Totals_Str_Landed,Fighter_A_Totals_Str_Attempted,Fighter_A_Totals_Ctrl_Sec,Fighter_A_Sig_Str_Landed,Fighter_A_Sig_Str_Attempted,Fighter_A_Sig_Str_Landed_Body,Fighter_A_Sig_Str_Attempted_Body,Fighter_A_Sig_Str_Landed_Head,Fighter_A_Sig_Str_Attempted_Head,Fighter_A_Sig_Str_Landed_Leg,Fighter_A_Sig_Str_Attempted_Leg,Fighter_A_Sig_Str_Landed_Clinch,Fighter_A_Sig_Str_Attempted_Clinch,Fighter_A_Sig_Str_Landed_Distance,Fighter_A_Sig_Str_Attempted_Distance,Fighter_A_Sig_Str_Landed_Ground,Fighter_A_Sig_Str_Attempted_Ground,Fighter_A_Wins,Fighter_A_Losses,Fighter_A_Draws,Fighter_A_Win_Streak,Fighter_A_Lose_Streak,Fighter_A_Total_Fights,Fighter_A_Experience_Years,Fighter_A_Days_Since_Last_Fight,Fighter_A_Is_Debut,Fighter_B_Totals_KD,Fighter_B_Totals_Rev,Fighter_B_Totals_Sub_att,Fighter_B_Totals_Td_Pct,Fighter_B_Totals_Str_Landed,Fighter_B_Totals_Str_Attempted,Fighter_B_Totals_Ctrl_Sec,Fighter_B_Sig_Str_Landed,Fighter_B_Sig_Str_Attempted,Fighter_B_Sig_Str_Landed_Body,Fighter_B_Sig_Str_Attempted_Body,Fighter_B_Sig_Str_Landed_Head,Fighter_B_Sig_Str_Attempted_Head,Fighter_B_Sig_Str_Landed_Leg,Fighter_B_Sig_Str_Attempted_Leg,Fighter_B_Sig_Str_Landed_Clinch,Fighter_B_Sig_Str_Attempted_Clinch,Fighter_B_Sig_Str_Landed_Distance,Fighter_B_Sig_Str_Attempted_Distance,Fighter_B_Sig_Str_Landed_Ground,Fighter_B_Sig_Str_Attempted_Ground,Fighter_B_Wins,Fighter_B_Losses,Fighter_B_Draws,Fighter_B_Win_Streak,Fighter_B_Lose_Streak,Fighter_B_Total_Fights,Fighter_B_Experience_Years,Fighter_B_Days_Since_Last_Fight,Fighter_B_Is_Debut,Winner_A
Merab Dvalishvili,Petr Yan,2025-12-06,Bantamweight,1,,"Las Vegas, Nevada, USA",USA,North America,Winter,,,,,,,0.06666666666666667,0.0,0.0,0.42133333333333334,43.2,75.13333333333334,94.93333333333334,21.0,50.06666666666667,3.4,5.066666666666666,12.866666666666667,39.6,4.733333333333333,5.4,4.533333333333333,6.466666666666667,11.066666666666666,35.733333333333334,5.4,7.866666666666666,13,2,0,13,0,15,7.997260273972603,182.0,0,0.26666666666666666,0.06666666666666667,0.0,0.15533333333333335,23.8,42.46666666666667,26.2,19.0,37.333333333333336,5.266666666666667,6.533333333333333,9.866666666666667,26.266666666666666,3.8666666666666667,4.533333333333333,2.533333333333333,3.0,14.333333333333334,31.466666666666665,2.1333333333333333,2.8666666666666667,11,4,0,3,0,15,7.46027397260274,133,0,
Alexandre Pantoja,Joshua Van,2025-12-06,Flyweight,1,,"Las Vegas, Nevada, USA",USA,North America,Winter,,,,,,,0.23529411764705882,0.11764705882352941,0.35294117647058826,0.27058823529411763,26.529411764705884,44.8235294117647,92.47058823529412,20.294117647058822,37.64705882352941,3.823529411764706,4.9411764705882355,12.588235294117647,27.705882352941178,3.8823529411764706,5.0,1.411764705882353,2.1176470588235294,15.647058823529411,31.529411764705884,3.235294117647059,4.0,14,3,0,8,0,17,8.860273972602739,161.0,0,0.1111111111111111,0.0,0.0,0.1111111111111111,32.44444444444444,55.888888888888886,3.4444444444444446,25.666666666666668,48.55555555555556,5.444444444444445,7.444444444444445,15.666666666666666,35.888888888888886,4.555555555555555,5.222222222222222,3.7777777777777777,4.666666666666667,21.555555555555557,43.22222222222222,0.3333333333333333,0.6666666666666666,8,1,0,5,0,9,2.4547945205479453,161,0,
Brandon Moreno,Tatsuro Taira,2025-12-06,Flyweight,0,,"Las Vegas, Nevada, USA",USA,North America,Winter,,,,,,,0.05555555555555555,0.1111111111111111,0.2777777777777778,0.255,22.666666666666668,43.166666666666664,67.5,15.833333333333334,35.72222222222222,2.1666666666666665,2.8333333333333335,11.722222222222221,30.333333333333332,1.9444444444444444,2.5555555555555554,0.8888888888888888,1.5555555555555556,13.333333333333334,31.72222222222222,1.6111111111111112,2.4444444444444446,11,7,0,2,0,18,9.186301369863013,252.0,0,0.125,0.125,0.25,0.37875000000000003,17.25,27.125,141.0,12.375,21.25,1.25,1.75,8.625,16.75,2.5,2.75,0.625,1.375,7.25,14.375,4.5,5.5,7,1,0,1,0,8,3.5671232876712327,126,0,
Henry Cejudo,Payton Talbott,2025-12-06,Bantamweight,0,,"Las Vegas, Nevada, USA",USA,North America,Winter,,,,,,,0.2,0.0,0.0,0.4553333333333333,22.6,39.93333333333333,60.0,14.733333333333333,31.466666666666665,4.4,5.933333333333334,7.066666666666666,21.4,3.2666666666666666,4.133333333333334,2.8666666666666667,4.8,9.266666666666667,22.866666666666667,2.6,3.8,10,5,0,0,3,15,10.98904109589041,287.0,0,0.2,0.0,0.0,0.0,21.0,34.0,24.0,17.8,29.6,4.6,5.8,11.0,21.4,2.2,2.4,1.8,2.2,13.6,24.4,2.4,3.0,4,1,0,1,0,5,2.052054794520548,161,0,
Jan Blachowicz,Bogdan Guskov,2025-12-06,Heavyweight,0,,"Las Vegas, Nevada, USA",USA,North America,Winter,,,,,,,0.14285714285714285,0.0,0.14285714285714285,0.11095238095238096,21.285714285714285,37.76190476190476,39.38095238095238,15.761904761904763,31.80952380952381,3.6666666666666665,5.428571428571429,8.238095238095237,21.952380952380953,3.857142857142857,4.428571428571429,2.0,2.8095238095238093,12.142857142857142,26.80952380952381,1.619047619047619,2.1904761904761907,12,9,0,0,3,21,11.180821917808219,259.0,0,0.4,0.2,0.2,0.0,20.6,34.2,13.0,11.2,24.4,0.4,0.4,9.6,22.6,1.2,1.4,0.0,0.2,7.0,18.0,4.2,6.2,4,1,0,4,0,5,2.263013698630137,133,0,
Grant Dawson,Manuel Torres,2025-12-06,Lightweight,0,,"Las Vegas, Nevada, USA",USA,North America,Winter,,,,,,,0.0,0.0,0.07692307692307693,0.5,31.0,44.69230769230769,203.15384615384616,12.923076923076923,23.307692307692307,2.1538461538461537,3.6923076923076925,9.076923076923077,17.846153846153847,1.6923076923076923,1.7692307692307692,1.6153846153846154,1.8461538461538463,4.615384615384615,11.923076923076923,6.6923076923076925,9.538461538461538,11,2,0,3,0,13,6.750684931506849,322.0,0,0.6,0.0,0.2,0.2,19.0,31.2,17.8,18.6,30.8,5.0,5.2,12.4,24.0,1.2,1.6,2.8,2.8,12.2,24.4,3.6,3.6,4,1,0,1,0,5,3.5671232876712327,252,0,
Terrance McKinney,Chris Duncan,2025-12-06,Lightweight,0,,"Las Vegas, Nevada, USA",USA,North America,Winter,,,,,,,0.2727272727272727,0.09090909090909091,0.45454545454545453,0.3018181818181818,21.454545454545453,33.63636363636363,70.81818181818181,16.09090909090909,26.454545454545453,2.090909090909091,2.8181818181818183,14.0,23.636363636363637,0.0,0.0,2.1818181818181817,2.5454545454545454,6.0,14.0,7.909090909090909,9.909090909090908,7,4,0,2,0,11,4.487671232876712,161.0,0,0.16666666666666666,0.0,0.16666666666666666,0.38833333333333336,15.166666666666666,35.666666666666664,48.833333333333336,13.666666666666666,33.666666666666664,3.1666666666666665,5.0,6.666666666666667,22.166666666666668,3.8333333333333335,6.5,0.5,0.5,12.166666666666666,31.833333333333332,1.0,1.3333333333333333,5,1,0,3,0,6,2.723287671232877,126,0,
Maycee Barber,Karine Silva,2025-12-06,Flyweight,0,,"Las Vegas, Nevada, USA",USA,North America,Winter,,,,,,,0.0,0.18181818181818182,0.0,0.0,28.727272727272727,51.81818181818182,57.72727272727273,22.0,43.81818181818182,4.0,4.818181818181818,15.272727272727273,36.0,2.727272727272727,3.0,10.363636363636363,12.636363636363637,8.909090909090908,27.545454545454547,2.727272727272727,3.6363636363636362,9,2,0,6,0,11,7.076712328767123,637.0,0,0.16666666666666666,0.0,0.5,0.6666666666666666,21.166666666666668,49.666666666666664,50.166666666666664,14.333333333333334,40.5,3.0,6.166666666666667,6.833333333333333,26.666666666666668,4.5,7.666666666666667,2.0,2.1666666666666665,11.166666666666666,36.666666666666664,1.1666666666666667,1.6666666666666667,5,1,0,1,0,6,3.5095890410958903,112,0,
Nazim Sadykhov,Fares Ziam,2025-12-06,Lightweight,0,,"Las Vegas, Nevada, USA",USA,North America,Winter,,,,,,,0.0,0.2,0.0,0.0,25.2,56.0,24.4,21.6,51.8,6.0,8.0,12.2,39.0,3.4,4.8,3.6,5.2,17.6,46.2,0.4,0.4,4,1,0,2,0,5,2.8,168.0,0,0.0,0.2222222222222222,0.0,0.20333333333333334,21.666666666666668,34.888888888888886,52.888888888888886,14.0,26.666666666666668,3.0,3.4444444444444446,8.222222222222221,20.22222222222222,2.7777777777777777,3.0,2.0,2.4444444444444446,10.88888888888889,22.11111111111111,1.1111111111111112,2.111111111111111,7,2,0,5,0,9,6.252054794520548,308,0,
Marvin Vettori,Brunno Ferreira,2025-12-06,Middleweight,0,,"Las Vegas, Nevada, USA",USA,North America,Winter,,,,,,,0.058823529411764705,0.058823529411764705,0.23529411764705882,0.2741176470588235,33.705882352941174,61.23529411764706,45.64705882352941,23.176470588235293,49.05882352941177,2.3529411764705883,3.176470588235294,17.764705882352942,42.411764705882355,3.0588235294117645,3.4705882352941178,1.2941176470588236,1.8235294117647058,17.764705882352942,41.88235294117647,4.117647058823529,5.352941176470588,9,8,0,0,3,17,9.301369863013699,140.0,0,0.42857142857142855,0.0,0.14285714285714285,0.17857142857142858,14.571428571428571,27.0,27.571428571428573,12.857142857142858,25.0,2.142857142857143,3.7142857142857144,8.428571428571429,18.571428571428573,2.2857142857142856,2.7142857142857144,0.7142857142857143,1.4285714285714286,11.285714285714286,22.285714285714285,0.8571428571428571,1.2857142857142858,5,2,0,2,0,7,2.8767123287671232,140,0,
