Threshold,m,Number of Bets,Wins,Losses,Total Invested,Total Profit,ROI (%),Win Rate (%),Score (ROI * sqrt(Number of Bets))
0.0,0.35,5767,2987,2780,86505.0,53801.81325539659,62.19503295231096,51.79469394832669,4723.138468090521
0.0,0.39999999999999997,5609,2942,2667,84135.0,53795.931803783686,63.9400152181419,52.451417364949194,4788.676016192126
0.0,0.44999999999999996,4945,2681,2264,74175.0,51265.063314532454,69.11366810183007,54.21638018200202,4860.121103525371
0.0,0.49999999999999994,3512,2023,1489,52680.0,41643.4064527945,79.0497464935355,57.60250569476082,4684.656318394243
0.0,0.5499999999999999,1802,1122,680,27030.0,24985.000456301386,92.43433391158486,62.264150943396224,3923.834752686766
0.0,0.5999999999999999,675,448,227,10125.0,10913.89948828857,107.79159988433156,66.37037037037037,2800.5079144319666
0.0,0.6499999999999999,219,154,65,3285.0,4062.440929934595,123.66639056117488,70.31963470319634,1830.095455931182
0.0,0.7,85,63,22,1275.0,1586.5553488430812,124.43571363475148,74.11764705882354,1147.240593930558
0.0,0.7499999999999999,12,11,1,180.0,223.11568386568385,123.95315770315769,91.66666666666666,429.3863338009333
0.05,0.35,5298,2746,2552,79470.0,53524.56087923577,67.35190748614039,51.83087957719894,4902.367640623305
0.05,0.39999999999999997,5165,2713,2452,77475.0,53623.56087923577,69.21401855983966,52.526621490803485,4974.268547863841
0.05,0.44999999999999996,4575,2488,2087,68625.0,51276.44238998453,74.7197703314893,54.38251366120218,5053.951588473773
0.05,0.49999999999999994,3264,1885,1379,48960.0,41604.83552824658,84.97719674886964,57.75122549019608,4854.868549122054
0.05,0.5499999999999999,1672,1042,630,25080.0,24875.79610825689,99.1857899053305,62.32057416267942,4055.7165306280185
0.05,0.5999999999999999,615,412,203,9225.0,10934.621384056658,118.53248112798545,66.9918699186992,2939.509939709182
0.05,0.6499999999999999,202,145,57,3030.0,4111.895485761402,135.70612164229047,71.78217821782178,1928.7463786461951
0.05,0.7,83,62,21,1245.0,1595.172370119677,128.12629478872907,74.69879518072288,1167.2860984145786
0.05,0.7499999999999999,11,11,0,165.0,238.11568386568385,144.31253567617205,100.0,478.6305333826403
0.1,0.35,4890,2530,2360,73350.0,52819.34447068853,72.0100129116408,51.738241308793455,5035.554704511169
0.1,0.39999999999999997,4773,2500,2273,71595.0,52805.09447068854,73.75528245085347,52.37795935470354,5095.523955741048
0.1,0.44999999999999996,4240,2306,1934,63600.0,50767.1259814373,79.82252512804607,54.38679245283019,5197.666264348491
0.1,0.49999999999999994,3041,1758,1283,45615.0,41279.11911969933,90.49461606861632,57.80993094376849,4990.3493774737335
0.1,0.5499999999999999,1572,980,592,23580.0,24701.520979240333,104.7562382495349,62.34096692111959,4153.423019492224
0.1,0.5999999999999999,582,390,192,8730.0,10881.511567954278,124.64503514266067,67.0103092783505,3007.0211082209244
0.1,0.6499999999999999,190,137,53,2850.0,4106.369760311908,144.08314948462834,72.10526315789474,1986.04915685082
0.1,0.7,79,58,21,1185.0,1567.7899731159316,132.30295131780014,73.41772151898735,1175.9343532972473
0.1,0.7499999999999999,9,9,0,135.0,225.4490171990172,166.999271999272,100.0,500.997815997816
0.15000000000000002,0.35,4511,2338,2173,67665.0,52144.848524709945,77.06325060919227,51.82886277987142,5175.87450249591
