year,accuracy,brier_score,roc_auc,confusion_matrix
2012,0.5046153846153846,0.2516421177930087,0.5378873986512086,"[[ 30 129]
 [ 32 134]]"
2013,0.5459610027855153,0.24588546836045605,0.5606267877129709,"[[ 63 109]
 [ 54 133]]"
2014,0.55863539445629,0.24666926960243077,0.5520959623792203,"[[ 93 118]
 [ 89 169]]"
2015,0.530751708428246,0.2487929367032053,0.5406151091121106,"[[ 51 156]
 [ 50 182]]"
2016,0.5421166306695464,0.2462614277560029,0.5936005678421997,"[[ 73 166]
 [ 46 178]]"
2017,0.5311004784688995,0.2478959825575018,0.5532153567912822,"[[112  97]
 [ 99 110]]"
2018,0.5698447893569845,0.24661335135623286,0.5701790633608815,"[[155  76]
 [118 102]]"
2019,0.5456431535269709,0.2463714084409794,0.577965195495076,"[[143  88]
 [131 120]]"
2020,0.5439429928741093,0.24578979451172014,0.5659396657154504,"[[127  96]
 [ 96 102]]"
2021,0.5355648535564853,0.24786499769615292,0.5560136554621848,"[[123 117]
 [105 133]]"
2022,0.5770833333333333,0.24498987223297686,0.5867636590913037,"[[171  70]
 [133 106]]"
2023,0.5817307692307693,0.24093962950350006,0.6047447280799112,"[[126  78]
 [ 96 116]]"
2024,0.5663956639566395,0.24330746887036456,0.5921060382916052,"[[129  65]
 [ 95  80]]"
